slurm-3473682.out:Memory, Processes, 8, Rank, 4, vMem, 1552256 KB, pMem, 1179996 KB
slurm-3473682.out:Memory, Processes, 8, Rank, 7, vMem, 1551796 KB, pMem, 1179500 KB
slurm-3473682.out:Memory, Processes, 8, Rank, 2, vMem, 1551208 KB, pMem, 1178916 KB
slurm-3473682.out:Memory, Processes, 8, Rank, 1, vMem, 1554520 KB, pMem, 1182308 KB
slurm-3473682.out:Memory, Processes, 8, Rank, 6, vMem, 1552996 KB, pMem, 1180724 KB
slurm-3473683.out:Memory, Processes, 16, Rank, 0, vMem, 988008 KB, pMem, 605860 KB
slurm-3473683.out:Memory, Processes, 16, Rank, 8, vMem, 1023500 KB, pMem, 641164 KB
slurm-3473683.out:Memory, Processes, 16, Rank, 2, vMem, 1023756 KB, pMem, 641484 KB
slurm-3473683.out:Memory, Processes, 16, Rank, 10, vMem, 1024944 KB, pMem, 644624 KB
slurm-3473683.out:Memory, Processes, 16, Rank, 4, vMem, 1023008 KB, pMem, 640700 KB
slurm-3473683.out:Memory, Processes, 16, Rank, 6, vMem, 1024964 KB, pMem, 644672 KB
slurm-3473683.out:Memory, Processes, 16, Rank, 14, vMem, 1020736 KB, pMem, 638264 KB
slurm-3473683.out:Memory, Processes, 16, Rank, 12, vMem, 1023084 KB, pMem, 640572 KB
slurm-3473683.out:Memory, Processes, 16, Rank, 3, vMem, 1025048 KB, pMem, 642644 KB
slurm-3473683.out:Memory, Processes, 16, Rank, 11, vMem, 1022484 KB, pMem, 640136 KB
slurm-3473683.out:Memory, Processes, 16, Rank, 7, vMem, 1022804 KB, pMem, 640480 KB
slurm-3473683.out:Memory, Processes, 16, Rank, 1, vMem, 989336 KB, pMem, 607240 KB
slurm-3473683.out:Memory, Processes, 16, Rank, 9, vMem, 1023392 KB, pMem, 640992 KB
slurm-3473683.out:Memory, Processes, 16, Rank, 15, vMem, 1020864 KB, pMem, 638328 KB
slurm-3473683.out:Memory, Processes, 16, Rank, 5, vMem, 1022848 KB, pMem, 640612 KB
slurm-3473683.out:Memory, Processes, 16, Rank, 13, vMem, 1023724 KB, pMem, 641280 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 0, vMem, 759520 KB, pMem, 369120 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 2, vMem, 759636 KB, pMem, 369276 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 1, vMem, 757940 KB, pMem, 367588 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 4, vMem, 759504 KB, pMem, 368960 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 5, vMem, 759492 KB, pMem, 368992 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 16, vMem, 759404 KB, pMem, 368820 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 17, vMem, 758484 KB, pMem, 367904 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 18, vMem, 759240 KB, pMem, 368656 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 6, vMem, 759728 KB, pMem, 369240 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 20, vMem, 759232 KB, pMem, 368664 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 21, vMem, 760360 KB, pMem, 369788 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 22, vMem, 758032 KB, pMem, 367392 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 12, vMem, 760208 KB, pMem, 369656 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 13, vMem, 760208 KB, pMem, 371764 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 14, vMem, 759900 KB, pMem, 369424 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 28, vMem, 758092 KB, pMem, 367500 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 29, vMem, 756060 KB, pMem, 365548 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 30, vMem, 757084 KB, pMem, 366572 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 24, vMem, 758048 KB, pMem, 367444 KB
