slurm-1557547.out:(304) Rank: 6, Memory: vMem, 427516 KB, pMem 39264 KB
slurm-1557547.out:(304) Rank: 7, Memory: vMem, 427472 KB, pMem 37356 KB
slurm-1557547.out:(304) Rank: 8, Memory: vMem, 462268 KB, pMem 71620 KB
slurm-1557547.out:(304) Rank: 9, Memory: vMem, 461040 KB, pMem 70692 KB
slurm-1557548.out:(304) Rank: 0, Memory: vMem, 731708 KB, pMem 325604 KB
slurm-1557548.out:(304) Rank: 1, Memory: vMem, 442756 KB, pMem 38092 KB
slurm-1557548.out:(304) Rank: 10, Memory: vMem, 442436 KB, pMem 38016 KB
slurm-1557548.out:(304) Rank: 11, Memory: vMem, 442364 KB, pMem 35976 KB
slurm-1557548.out:(304) Rank: 12, Memory: vMem, 442440 KB, pMem 35976 KB
slurm-1557548.out:(304) Rank: 13, Memory: vMem, 442364 KB, pMem 38040 KB
slurm-1557548.out:(304) Rank: 14, Memory: vMem, 442440 KB, pMem 36008 KB
slurm-1557548.out:(304) Rank: 15, Memory: vMem, 442544 KB, pMem 35980 KB
slurm-1557548.out:(304) Rank: 16, Memory: vMem, 443404 KB, pMem 36572 KB
slurm-1557548.out:(304) Rank: 17, Memory: vMem, 442360 KB, pMem 35988 KB
slurm-1557548.out:(304) Rank: 18, Memory: vMem, 442440 KB, pMem 36036 KB
slurm-1557548.out:(304) Rank: 19, Memory: vMem, 442512 KB, pMem 36056 KB
slurm-1557548.out:(304) Rank: 2, Memory: vMem, 442588 KB, pMem 35868 KB
slurm-1557548.out:(304) Rank: 20, Memory: vMem, 442436 KB, pMem 36040 KB
slurm-1557548.out:(304) Rank: 21, Memory: vMem, 442436 KB, pMem 36044 KB
slurm-1557548.out:(304) Rank: 22, Memory: vMem, 442436 KB, pMem 36016 KB
slurm-1557548.out:(304) Rank: 23, Memory: vMem, 442472 KB, pMem 36084 KB
slurm-1557548.out:(304) Rank: 24, Memory: vMem, 443724 KB, pMem 39076 KB
slurm-1557548.out:(304) Rank: 25, Memory: vMem, 442348 KB, pMem 35972 KB
slurm-1557548.out:(304) Rank: 26, Memory: vMem, 442344 KB, pMem 35960 KB
slurm-1557548.out:(304) Rank: 27, Memory: vMem, 442424 KB, pMem 36068 KB
slurm-1557548.out:(304) Rank: 28, Memory: vMem, 442476 KB, pMem 35984 KB
slurm-1557548.out:(304) Rank: 29, Memory: vMem, 442424 KB, pMem 35992 KB
slurm-1557548.out:(304) Rank: 3, Memory: vMem, 442596 KB, pMem 35880 KB
slurm-1557548.out:(304) Rank: 30, Memory: vMem, 442424 KB, pMem 35988 KB
slurm-1557548.out:(304) Rank: 31, Memory: vMem, 442528 KB, pMem 36060 KB
slurm-1557548.out:(304) Rank: 32, Memory: vMem, 443388 KB, pMem 36764 KB
slurm-1557548.out:(304) Rank: 33, Memory: vMem, 442424 KB, pMem 36092 KB
slurm-1557548.out:(304) Rank: 34, Memory: vMem, 442496 KB, pMem 36136 KB
slurm-1557548.out:(304) Rank: 35, Memory: vMem, 442348 KB, pMem 36080 KB
slurm-1557548.out:(304) Rank: 36, Memory: vMem, 442420 KB, pMem 36064 KB
slurm-1557548.out:(304) Rank: 37, Memory: vMem, 442344 KB, pMem 36080 KB
slurm-1557548.out:(304) Rank: 38, Memory: vMem, 442344 KB, pMem 36012 KB
slurm-1557548.out:(304) Rank: 39, Memory: vMem, 442452 KB, pMem 36112 KB
slurm-1557548.out:(304) Rank: 4, Memory: vMem, 442588 KB, pMem 35880 KB
slurm-1557548.out:(304) Rank: 40, Memory: vMem, 477572 KB, pMem 70872 KB
slurm-1557548.out:(304) Rank: 41, Memory: vMem, 476560 KB, pMem 69884 KB
slurm-1557548.out:(304) Rank: 42, Memory: vMem, 476480 KB, pMem 69936 KB
slurm-1557548.out:(304) Rank: 43, Memory: vMem, 476564 KB, pMem 69944 KB
slurm-1557548.out:(304) Rank: 44, Memory: vMem, 476484 KB, pMem 69944 KB
slurm-1557548.out:(304) Rank: 45, Memory: vMem, 476640 KB, pMem 69972 KB
slurm-1557548.out:(304) Rank: 46, Memory: vMem, 476488 KB, pMem 69960 KB
slurm-1557548.out:(304) Rank: 47, Memory: vMem, 476608 KB, pMem 72048 KB
slurm-1557548.out:(304) Rank: 48, Memory: vMem, 475536 KB, pMem 70728 KB
slurm-1557548.out:(304) Rank: 49, Memory: vMem, 474452 KB, pMem 67860 KB
slurm-1557548.out:(304) Rank: 5, Memory: vMem, 442520 KB, pMem 35840 KB
slurm-1557548.out:(304) Rank: 50, Memory: vMem, 474444 KB, pMem 67764 KB
slurm-1557548.out:(304) Rank: 51, Memory: vMem, 474444 KB, pMem 67728 KB
slurm-1557548.out:(304) Rank: 52, Memory: vMem, 474372 KB, pMem 67756 KB
slurm-1557548.out:(304) Rank: 53, Memory: vMem, 474380 KB, pMem 67744 KB
slurm-1557548.out:(304) Rank: 54, Memory: vMem, 474372 KB, pMem 67704 KB
slurm-1557548.out:(304) Rank: 55, Memory: vMem, 474488 KB, pMem 67832 KB
slurm-1557548.out:(304) Rank: 56, Memory: vMem, 475304 KB, pMem 68664 KB
slurm-1557548.out:(304) Rank: 57, Memory: vMem, 474444 KB, pMem 67904 KB
slurm-1557548.out:(304) Rank: 58, Memory: vMem, 474448 KB, pMem 67904 KB
slurm-1557548.out:(304) Rank: 59, Memory: vMem, 474496 KB, pMem 69900 KB
slurm-1557548.out:(304) Rank: 6, Memory: vMem, 442668 KB, pMem 35944 KB
slurm-1557548.out:(304) Rank: 60, Memory: vMem, 474420 KB, pMem 69864 KB
slurm-1557548.out:(304) Rank: 61, Memory: vMem, 474376 KB, pMem 67848 KB
slurm-1557548.out:(304) Rank: 62, Memory: vMem, 474496 KB, pMem 67896 KB
slurm-1557548.out:(304) Rank: 63, Memory: vMem, 474420 KB, pMem 67808 KB
slurm-1557548.out:(304) Rank: 7, Memory: vMem, 442664 KB, pMem 36176 KB
slurm-1557548.out:(304) Rank: 8, Memory: vMem, 443332 KB, pMem 36632 KB
slurm-1557548.out:(304) Rank: 9, Memory: vMem, 442364 KB, pMem 37976 KB
slurm-1557566.out:(304) Rank: 0, Memory: vMem, 430156 KB, pMem 47520 KB
slurm-1557566.out:(304) Rank: 1, Memory: vMem, 400436 KB, pMem 17264 KB
slurm-1557567.out:(304) Rank: 0, Memory: vMem, 436220 KB, pMem 45920 KB
slurm-1557567.out:(304) Rank: 1, Memory: vMem, 406368 KB, pMem 17676 KB
slurm-1557567.out:(304) Rank: 2, Memory: vMem, 406292 KB, pMem 15644 KB
slurm-1557567.out:(304) Rank: 3, Memory: vMem, 406296 KB, pMem 15664 KB
slurm-1557569.out:(304) Rank: 0, Memory: vMem, 485828 KB, pMem 79072 KB
slurm-1557569.out:(304) Rank: 1, Memory: vMem, 455780 KB, pMem 48816 KB
slurm-1557569.out:(304) Rank: 2, Memory: vMem, 455708 KB, pMem 48804 KB
slurm-1557569.out:(304) Rank: 3, Memory: vMem, 455788 KB, pMem 48828 KB
slurm-1557569.out:(304) Rank: 4, Memory: vMem, 455788 KB, pMem 48804 KB
slurm-1557569.out:(304) Rank: 5, Memory: vMem, 455792 KB, pMem 48788 KB
slurm-1557569.out:(304) Rank: 6, Memory: vMem, 455796 KB, pMem 48824 KB
slurm-1557569.out:(304) Rank: 7, Memory: vMem, 455716 KB, pMem 50844 KB
slurm-1557608.out:(304) Rank: 0, Memory: vMem, 733328 KB, pMem 356708 KB
slurm-1557609.out:(304) Rank: 0, Memory: vMem, 721296 KB, pMem 347844 KB
slurm-1557609.out:(304) Rank: 1, Memory: vMem, 439304 KB, pMem 64552 KB
slurm-1557610.out:(304) Rank: 0, Memory: vMem, 750680 KB, pMem 368176 KB
slurm-1557610.out:(304) Rank: 1, Memory: vMem, 467172 KB, pMem 83640 KB
slurm-1557610.out:(304) Rank: 2, Memory: vMem, 468408 KB, pMem 84584 KB
slurm-1557610.out:(304) Rank: 3, Memory: vMem, 468016 KB, pMem 86608 KB
slurm-1557611.out:(304) Rank: 0, Memory: vMem, 716812 KB, pMem 326424 KB
slurm-1557611.out:(304) Rank: 1, Memory: vMem, 432944 KB, pMem 42060 KB
slurm-1557611.out:(304) Rank: 2, Memory: vMem, 433544 KB, pMem 42736 KB
slurm-1557611.out:(304) Rank: 3, Memory: vMem, 433548 KB, pMem 42692 KB
slurm-1557611.out:(304) Rank: 4, Memory: vMem, 467840 KB, pMem 76692 KB
slurm-1557611.out:(304) Rank: 5, Memory: vMem, 467616 KB, pMem 76668 KB
slurm-1557611.out:(304) Rank: 6, Memory: vMem, 467772 KB, pMem 76628 KB
slurm-1557611.out:(304) Rank: 7, Memory: vMem, 467432 KB, pMem 76660 KB
slurm-1557612.out:(304) Rank: 0, Memory: vMem, 730640 KB, pMem 324220 KB
slurm-1557612.out:(304) Rank: 1, Memory: vMem, 445452 KB, pMem 38576 KB
slurm-1557612.out:(304) Rank: 10, Memory: vMem, 479440 KB, pMem 72560 KB
slurm-1557612.out:(304) Rank: 11, Memory: vMem, 479520 KB, pMem 72560 KB
slurm-1557612.out:(304) Rank: 12, Memory: vMem, 479452 KB, pMem 72480 KB
slurm-1557612.out:(304) Rank: 13, Memory: vMem, 479528 KB, pMem 72544 KB
slurm-1557612.out:(304) Rank: 14, Memory: vMem, 479520 KB, pMem 72548 KB
slurm-1557612.out:(304) Rank: 15, Memory: vMem, 479440 KB, pMem 72496 KB
slurm-1557612.out:(304) Rank: 2, Memory: vMem, 445532 KB, pMem 38656 KB
slurm-1557612.out:(304) Rank: 3, Memory: vMem, 445460 KB, pMem 38588 KB
slurm-1557612.out:(304) Rank: 4, Memory: vMem, 445380 KB, pMem 38560 KB
slurm-1557612.out:(304) Rank: 5, Memory: vMem, 445224 KB, pMem 40596 KB
slurm-1557612.out:(304) Rank: 6, Memory: vMem, 445376 KB, pMem 38516 KB
slurm-1557612.out:(304) Rank: 7, Memory: vMem, 445264 KB, pMem 38656 KB
